time,DivisionNo.1_1,DivisionNo.2_1,DivisionNo.7_1
2023-04-10 08:00:00,0.9921417926549911,0.9923548572171819,0.9835632791320482
2023-04-10 09:00:00,0.993068063378334,0.9967454677278345,0.99955013859272
2023-04-10 10:00:00,1.0,1.0,1.0
2023-04-10 11:00:00,1.0,1.0,1.0
2023-04-10 12:00:00,1.0,1.0,1.0
2023-04-10 13:00:00,1.0,1.0,1.0
2023-04-10 14:00:00,1.0,1.0,1.0
2023-04-10 15:00:00,1.0,1.0,1.0
2023-04-10 16:00:00,1.0,1.0,1.0
2023-04-10 17:00:00,1.0,1.0,0.9985941119194031
2023-04-10 18:00:00,1.0,1.0,0.9884032226204872
2023-04-10 19:00:00,1.0,0.9973830569332296,0.9993217617273331
2023-04-10 20:00:00,0.9971100473403932,0.9482304344123059,0.9922132677435874
2023-04-10 21:00:00,0.9535453444123267,0.7812588623978876,0.8170941557884215
2023-04-10 22:00:00,0.7975216953158378,0.47941808437759215,0.4298408835281928
2023-04-10 23:00:00,0.6293943472901979,0.2473404834080826,0.12804353245099384
2023-04-11 00:00:00,0.5370634322017431,0.19236514154482967,0.0771392128964265
2023-04-11 01:00:00,0.4037092129786808,0.24200912188399923,0.1284597614407539
2023-04-11 02:00:00,0.3283846840759118,0.5334665402499111,0.18945633213222024
2023-04-11 03:00:00,0.44884692564606665,0.7051956460963595,0.22802603794137635
2023-04-11 04:00:00,0.5046506193478901,0.7043099520152264,0.25348732423782344
2023-04-11 05:00:00,0.3503689564764499,0.6066279896958305,0.2682753057281176
2023-04-11 06:00:00,0.6010830168922742,0.7696275818618861,0.31408882021903983
2023-04-11 07:00:00,0.6846950150529544,0.7100249076973308,0.3428723676602045
2023-04-11 08:00:00,0.7347408476273218,0.5843844081055034,0.3554488918185233
2023-04-11 09:00:00,0.6709651472767193,0.3782695514776489,0.4140579980810484
2023-04-11 10:00:00,0.6072015260060627,0.3003555490889332,0.5246972993016242
2023-04-11 11:00:00,0.6117405470808346,0.30148501436818725,0.6607380711038907
2023-04-11 12:00:00,0.6652541201512017,0.5389827553860165,0.7472067909638085
2023-04-11 13:00:00,0.6627616107463835,0.6065273515744642,0.8101664991577465
2023-04-11 14:00:00,0.6524150134374699,0.5784205078807744,0.8703218718568483
2023-04-11 15:00:00,0.6420008113384247,0.48559652014212173,0.9124903630018234
2023-04-11 16:00:00,0.5983976570864519,0.40601350434801786,0.9113021359443665
2023-04-11 17:00:00,0.6308751707275709,0.44730528076941317,0.8594956146279971
2023-04-11 18:00:00,0.6911688848137857,0.6137413141944191,0.7920518876512845
2023-04-11 19:00:00,0.7606415038307508,0.5553040280125358,0.7598199634750684
2023-04-11 20:00:00,0.698821653574705,0.3334003326025876,0.808236088613669
2023-04-11 21:00:00,0.5774573547641436,0.3293152962489561,0.7578657049139341
2023-04-11 22:00:00,0.39175266981124873,0.49495527714490883,0.569983914633592
2023-04-11 23:00:00,0.48295430586735405,0.5764749438383362,0.4119357380668322
2023-04-12 00:00:00,0.4959851643840471,0.7413891391862522,0.3555399868190288
2023-04-12 01:00:00,0.6467429955204327,0.938712154410102,0.2839773110647997
2023-04-12 02:00:00,0.898754429280758,0.9985519018498333,0.21358914237221077
2023-04-12 03:00:00,0.9795889373024305,0.9994094812870025,0.1602349861164888
2023-04-12 04:00:00,0.9942886007428169,1.0,0.14588526585698125
2023-04-12 05:00:00,1.0,1.0,0.17105902288854122
2023-04-12 06:00:00,1.0,1.0,0.19619168044130006
2023-04-12 07:00:00,1.0,1.0,0.30899423100550966
2023-04-12 08:00:00,1.0,1.0,0.4664720755219459
2023-04-12 09:00:00,1.0,1.0,0.6270200740297635
2023-04-12 10:00:00,1.0,1.0,0.6640120359261829
2023-04-12 11:00:00,0.9881687986652056,1.0,0.6689513705174128
2023-04-12 12:00:00,0.9489293036063511,1.0,0.6575687912901242
2023-04-12 13:00:00,0.9166038135091464,0.9998159903829748,0.6178160607616106
2023-04-12 14:00:00,0.8597145210901895,0.9922441266341643,0.5781718178987502
2023-04-12 15:00:00,0.7557537076473236,0.9603593471375379,0.5290267356435457
2023-04-12 16:00:00,0.649182858387629,0.9089513141729615,0.49393484866619103
2023-04-12 17:00:00,0.5135978476206461,0.676963138309392,0.4911521244049072
2023-04-12 18:00:00,0.3792491633196672,0.5774046096070246,0.4735950282812118
2023-04-12 19:00:00,0.2826810276508331,0.42982234529473556,0.4805592492818832
2023-04-12 20:00:00,0.20171055857340495,0.46150082460858605,0.4847855115930238
2023-04-12 21:00:00,0.12883723420401413,0.3351634993607347,0.4338961572845776
2023-04-12 22:00:00,0.04090229976673921,0.10751098338853228,0.32547941502928734
2023-04-12 23:00:00,0.04229878696302571,0.10766456396742298,0.21179359218478197
