time,MountWaddington_1,Skeena-QueenCharlotte_1,Kitimat-Stikine_1,Bulkley-Nechako_1,Columbia-Shuswap_1,Thompson-Nicola_1,Cariboo_1,Thompson-Nicola_2
2023-03-07 05:00:00,0.7169494629502293,0.2874252720241961,0.4594694388185586,0.12947876197320443,0.06763080762191252,0.0494606300488566,0.012751177805052562,0.014152886400168587
2023-03-07 06:00:00,0.7135707310199737,0.2832635724998038,0.4496844350326228,0.11291379154004436,0.06262572242793712,0.06492302444396597,0.02290524983439933,0.016979401448007785
2023-03-07 07:00:00,0.685676649415493,0.2591166324265625,0.4628416749520202,0.1189622472088646,0.06866649511862884,0.08700226531561578,0.036379037838090544,0.02585498048952132
2023-03-07 08:00:00,0.624470183455944,0.2210496484423461,0.5007575403059451,0.12119841297191598,0.08329151910137045,0.10722500361953718,0.05360862543298439,0.03171602043915879
2023-03-07 09:00:00,0.604391877067089,0.18609248148034443,0.522561665733515,0.1427422079305958,0.08786086615513669,0.11692557863665351,0.07437107550657605,0.032132380229957166
2023-03-07 10:00:00,0.5146040654063223,0.15353032810532527,0.501762486356245,0.12171044704400832,0.09877521868795157,0.07804565297834799,0.04948202255097301,0.02032582671579086
2023-03-07 11:00:00,0.527871922713518,0.07727428742724916,0.4441976132317326,0.08155821754010738,0.056673711700872945,0.04313109951263123,0.0299851007878103,0.006904840970581226
2023-03-07 12:00:00,0.8130785760819912,0.03837205696365108,0.42952710030154445,0.09203265687105831,0.07826353777877308,0.10221264294602656,0.06224509286270898,0.015869870203914067
2023-03-07 13:00:00,0.8286393073737618,0.029907668890512506,0.4513660874291205,0.1029044542130497,0.09946400035511363,0.2355307171922741,0.1607949353585189,0.04598784366566122
2023-03-07 14:00:00,0.7743331482172011,0.022505964627084526,0.5121704059073202,0.13361822483578215,0.12091839081861754,0.37465284093311335,0.2756786847707222,0.07980375264630174
2023-03-07 15:00:00,0.7852945063203571,0.05707823583289333,0.5261764090623653,0.14703545305877921,0.11241473374718969,0.24342550044258435,0.16651437519456855,0.03969308831700772
2023-03-07 16:00:00,0.7777165987908838,0.09223693670785947,0.5734358061388346,0.21324778072535985,0.10821637038818813,0.25783849806045034,0.18871510369195177,0.0588062276939551
2023-03-07 17:00:00,0.7834287262916564,0.06575050581732522,0.6049500882646566,0.2812743490658423,0.10100074069066482,0.20831821744189122,0.1992519380490889,0.04388258925215764
2023-03-07 18:00:00,0.8108938061952591,0.013460639585619388,0.6325631108638685,0.32386716969587176,0.08382720380005511,0.22257876885208214,0.28009710454974657,0.04016085639821759
2023-03-07 19:00:00,0.7966517764806749,0.031440136238284726,0.6808692136396404,0.382768064237855,0.09292319670996883,0.28281088378844843,0.4390379456600004,0.045333640358664766
2023-03-07 20:00:00,0.7801778623163699,0.13709021535256632,0.7518466187237013,0.42055405738728996,0.09565551411699164,0.2991841877138975,0.5460964414070951,0.0433645764512546
2023-03-07 21:00:00,0.7201905291885137,0.25046168057490953,0.812530943151091,0.45049163741921944,0.1157860607044263,0.3300258433728507,0.5981517934799194,0.05099114608584029
2023-03-07 22:00:00,0.6625762606441975,0.32479249458598053,0.8423579193924513,0.4918858261571988,0.12209751326252113,0.3366869176698453,0.6094777161221611,0.0514637791184765
2023-03-07 23:00:00,0.6140028994321824,0.37182679662237994,0.8690696519025614,0.5392134426561769,0.12375394566492597,0.3603053664438651,0.6388322892852805,0.051107538281516596
2023-03-08 00:00:00,0.5522762731969355,0.4137827610645605,0.8938270908929933,0.5714431879807399,0.1286316951364279,0.37842881841189935,0.6574067055501719,0.056596189055478925
2023-03-08 01:00:00,0.4670709801584482,0.4630054207858833,0.8976532997127988,0.579936048766529,0.1326544325121424,0.395971344711654,0.6511956412277438,0.06439033473982955
